,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
8389,PROCUREMENT OF COVID-19 EMERGENCY SUPPLIES (COA ROIX- APR 20-002),110767.8,20/05/2020,20/05/2020,DBM-PS ZAMBOANGA SUB DEPOT,58178.86,20/05/2020,20/05/2020,COMMISSION ON AUDIT - REGIONAL OFFICE NO. IX,0.525232604,Not classified,,,
8390,Supply and Delivery of Relief Goods - Rice,58140,13/04/2020,13/04/2020,JJRS Store,58140,13/04/2020,13/04/2020,Cavite State University,1,Not classified,,,
8391,"Purchase of Additional Personal Protective Equipment (PPE) for COVID-19 Personnel in the Municipality of Mabini, Pangasinan",58250,22/06/2020,29/06/2020,BF MERREN PHARMACEUTICALS,58090,19/06/2020,19/06/2020,"Local Government Unit of ~Mabini, Pangasinan",0.997253219,Not classified,,,
8392,Procurement of Personal Protective Equipment (PPE's) (Batch 2),116000,04/05/2020,14/05/2020,Pinaksoy Tailoring,58000,04/05/2020,05/05/2020,City Government of Malaybalay,0.5,Not classified,,,
8393,SUPPLY AND DELIVERY OF FOUR (4) PIECES MEMBRANE FILTERS,74000,15/05/2020,22/05/2020,EAGLENORTH MEDICAL TRADING,58000,06/05/2020,07/05/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,0.783783784,Not classified,,,
8394,Procurement of fire extinguisher,58000,14/05/2020,21/05/2020,SF ALLIED INDUSTRIAL PRODUCTS,58000,14/05/2020,14/05/2020,Jose B. Lingad Memorial General Hospital,1,Not classified,,,
8395,Procurement of Meals,58000,13/03/2020,13/03/2020,APLAYA VIDA BEACH RESORT,58000,13/03/2020,13/03/2020,LGU POLANCO,1,Not classified,,,
8396,Supply and Delivery of Liquid  Hand Soap and Tissue Paper,58000,01/06/2020,17/06/2020,JD Enterprises,58000,10/06/2020,10/06/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8397,Lease of Real Property (Hotel Accommodation with Full Board Meals) to serve as Quarantine Facility for the DOT Mega Swabbing Sites Volunteers,60000,13/06/2020,17/06/2020,Rizal Park Hotel,58000,13/06/2020,13/06/2020,Department of Tourism,0.966666667,Not classified,,,
8398,"Detergent, Liquid, All Purpose, 1 gallon",58800,28/07/2020,27/08/2020,HEBBORN ANALYTICS INCORPORATED,58000,13/06/2020,13/06/2020,Research Institute for Tropical Medicine (RITM-DOH),0.986394558,Not classified,,,
8399,Procurement of Various Relief Goods,57997.6,01/04/2020,08/04/2020,AC3J CORPORATION,57997.6,31/03/2020,31/03/2020,MUNICIPALITY OF SAINT BERNARD,1,Not classified,,,
8400,Various items for COVID19 Crisis use,57920,14/07/2020,28/07/2020,COLLIN'S PHARMACY,57920,23/06/2020,13/07/2020,"LGU - Kabankalan City, Neg. Occ.",1,Not classified,,,
8401,Automated Microplate Spinner Centrifudge and others,420000,05/06/2020,17/07/2020,Diamed Enterprise,57750,02/06/2020,04/06/2020,Bataan General Hospital and Medical Center,0.1375,Not classified,,,
8402,Procurement of Materials for the maintenance of Quarantine Facility,60000,26/05/2020,04/06/2020,DOTON TRADING,57735,26/05/2020,26/06/2020,"Local Government Unit - Municipality of San Nicolas, Province of Pangasinan",0.96225,Not classified,,,
8403,SUPPLY AND DELIVERY OF MEALS TO BE SERVED FOR THE PERSONNEL IN-CHARGED IN REPACKING OF RELIEF GOODS,57700,04/05/2020,10/05/2020,JUZLAI CATERING AND FOOD SERVICES,57700,04/05/2020,10/05/2020,MUNICIPALITY OF BINMALEY,1,Not classified,,,
8404,PROCUREMENT OF DIGITAL NON-CONTACT THERMAL SCANNER,57600,15/05/2020,15/06/2020,CHOZ-A-MEDZ CORP.,57600,18/05/2020,18/05/2020,Department of Agrarian Reform-Negros Occidental 2,1,Not classified,,,
8405,"Bag, biohazard, autoclavable, polypropylene, with biohazard sign and label, with sterilization indicator patch, disposable, 8.5""x11"", Pass ASTM 1922 Tear Resistance and ASTM 1709 Dart Impact Test, at",63000,16/07/2020,13/11/2020,"YANA CHEMODITIES, INC.",57500,19/05/2020,19/05/2020,Research Institute for Tropical Medicine (RITM-DOH),0.912698413,Not classified,,,
8406,Supply and Delivery of Disinfectant Tablet,57500,10/07/2020,20/07/2020,LUZON QUICK SERVE TRADING CORPORATION,57500,10/06/2020,10/07/2020,CAGAYAN VALLEY MEDICAL CENTER,1,Not classified,,,
8407,The PASSOVER:ARBold Move for Deliverance of our Farmers from COVID-19 Pandemic- Supplemental Food and Non Food,57353.4,14/05/2020,19/05/2020,Iloilo Izeem Commercial,57353.4,14/05/2020,15/05/2020,Department of Agrarian Reform -Capiz- Region VI,1,Not classified,,,
8408,PROVISION AND DELIVERY OF LIVELIHOOD SUPPORT FOR WOMEN IN CRISIS SITUATION CHICKS DAY OLD VACCINATED CLASS A,57240,24/06/2020,30/07/2020,RODAMA AGRIVET SUPPLIES,57240,24/06/2020,29/06/2020,DEPARTMENT OF AGRARIAN REFORM - MASBATE,1,Not classified,,,
8409,Welfare Goods for Emergency Assistance to the Indigent Families of this Municipality,57200,19/03/2020,23/03/2020,South Emerald Distribution Incorporated,57200,20/03/2020,19/03/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
8410,Procurement of Food Assistance-Dried Fish for Covid-19 Response,57200,15/06/2020,16/06/2020,CAEZAR FISH BROKERAGE,57200,11/06/2020,15/06/2020,Local Government Unit of Naga,1,Not classified,,,
8411,DILG VII Supply Request for COVID 19 response,57200,05/05/2020,05/05/2020,DBM-PS,57200,05/05/2020,05/05/2020,"Department of the Interior and Local Government, Region 7",1,Not classified,,,
8412,"Surgical Mask, Disinfectant Spray, Air Freshener, Insecticide",58162,09/04/2020,17/06/2020,The Procurement Service,57162,27/04/2020,17/06/2020,DOH - Davao Center for Health Development,0.982806644,Not classified,,,
8413,Supply and Delivery of Community Quarantine Facility PUM Kit,57100,13/05/2020,25/05/2020,3KR'S ENTERPRISES,57100,29/04/2020,29/04/2020,"MLGU-Kawayan, Biliran",1,Not classified,,,
8414,Purchased of Various PPE's,79770,17/04/2020,20/04/2020,V FIVE MARKETING,57000,17/04/2020,17/04/2020,Municipality of Santa Catalina,0.714554344,Not classified,,,
8415,Purchase of Thermal Scanner in preparation for COVID19,58200,20/04/2020,20/04/2020,NEGROS MARKETING,57000,20/04/2020,20/04/2020,City of Victorias,0.979381443,Not classified,,,
8416,Purchase of 30 boxes (600pcs) N95 Mask,105000,18/05/2020,03/06/2020,GAJ Marketing,57000,18/05/2020,03/06/2020,Center for International Trade Expositions and Missions (CITEM),0.542857143,Not classified,,,
8417,Purchase of Thermal Scanner in preparation for COVID19,58200,20/04/2020,20/04/2020,NEGROS MARKETING,57000,20/04/2020,20/04/2020,City of Victorias,0.979381443,Not classified,,,
8418,Procurement of Cloth Facemask with Logo,59250,20/05/2020,26/05/2020,D' Escuro Tailoring,57000,18/05/2020,08/06/2020,Partido Development Administration,0.962025316,Not classified,,,
8419,Purchase of Meals for Validation & Payout & Liquidation of SAC Form at Municipal Social Welfare & Development Program for Covid 19,57375,05/05/2010,10/05/2019,Jen Bulls Catering Services,56925,04/05/2020,10/05/2020,"Municipality of Tanay, Rizal",0.992156863,Not classified,,,
8420,payment for materials use for Quarantine Camp and Checkpoint re: COVID19,56922,16/07/2020,16/07/2020,Puregold Hardware,56922,16/07/2020,16/07/2020,"Municipality of Jose Panganiban, Camarines Norte",1,Not classified,,,
8421,Food Supplies for Indigent Families in this Municipality,56884.9,31/03/2020,03/04/2020,South Emerald Distribution Incorporated,56884.9,02/04/2020,31/03/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
8422,One unit printer,56700,01/04/2020,13/04/2020,Genruz Const. & Supplies,56700,01/04/2020,13/04/2020,City Government of Cadiz,1,Not classified,,,
8423,Emergency Procurement of materials for Handwashing Facilities,56681,29/04/2020,06/05/2020,Halibwayan Friendly Place and Enterprises,56681,29/04/2020,06/05/2020,LGU-SALCEDO,1,Not classified,,,
8424,MEDICAL & LABORATORY SUPPLIES FOR THE USE OF CDRRMO - COVID 19 ISOLATION FACILITY,56400,12/05/2020,27/05/2020,CENTRAMED PHILIPPINES COMPANY,56400,12/05/2020,14/05/2020,LGU Tagum City,1,Not classified,,,
8425,Procurement of Transparent BAg,56340,15/04/2020,16/04/2020,B.M. Singh General Merchandise,56340,15/04/2020,16/04/2020,City Government of Baguio,1,Not classified,,,
8426,FOOD ASSISTANCE FOR MEDICAL AND LGU PERSONNEL INVOLVED IN COVID-19,56304.5,02/06/2020,02/07/2020,LICAY GENERAL MERCHANDISE,56304.5,29/05/2020,29/05/2020,"LOCAL GOVERNMENT OF SAN LUIS, AURORA",1,Not classified,,,
8427,ARBold Move for Deliverance of ARBs from the COVID-19 Pandemic,367810,21/05/2020,28/05/2020,Palawan ARC Cooperative Federation,56280,20/05/2020,21/05/2020,DAR-PALAWAN,0.153013784,Not classified,,,
8428,Supply and Delivery of Meals for Frontliners - COVID-19 Quick Response,56250,15/05/2020,08/06/2020,ZAR Catering Services,56250,15/05/2020,08/06/2020,Municipality of Sibonga,1,Not classified,,,
8429,Purchase of Food Packs for PUMs/PUIs of COVID-19,56225,16/03/2020,20/03/2020,MJLG Sari-Sari Store,56225,25/03/2020,26/03/2020,"LGU-VALDERRAMA, ANTIQUE",1,Not classified,,,
8430,SUPPLY AND DELIVERY OF 30 SACK RICE (50 KG),56100,21/04/2020,28/04/2020,CSI WAREHOUSE CLUB INC.,56100,21/04/2020,21/04/2020,MUNICIPALITY OF BINMALEY,1,Not classified,,,
8431,PURCHASE OF VARIOUS FACESHIELDS USED BY FRONTLINERS AS PPE AGAINST COVID19,56080,08/06/2020,18/06/2020,GRY 88 PRINTS GRAPHIX SUPPLIES,56080,05/06/2020,05/06/2020,Local Government Unit of Oton,1,Not classified,,,
8432,Emergency Procurement for the Repair And Calibration of Bio Safety Cabinet,56000,29/05/2020,12/06/2020,Q-Trade Corporation,56000,29/05/2020,29/05/2020,Baguio General Hospital and Medical Center,1,Not classified,,,
8433,PROCUREMENT OF WELFARE GOODS,568000,17/06/2020,27/06/2020,ESTEBAN LAMES,56000,15/06/2020,27/06/2020,LGU SIGAY,0.098591549,Not classified,,,
8434,Rental of Ref Van for Storage Chicken Hauling of Milk for Covid 19 Prevention & Mitigation,61500,29/04/2020,10/05/2020,One Nine One Trading,56000,27/04/2020,10/05/2020,"Municipality of Tanay, Rizal",0.910569106,Not classified,,,
8435,Purchase of Covid-19 Rapid Test Kit use for Covid 19,56000,06/05/2020,16/05/2020,"FAS DIAGNOSTIC GROUP, INC.",56000,06/05/2020,06/05/2020,"Municipality of Janiuay, Province of Iloilo",1,Not classified,,,
8436,SUPPLY AND DELIVERY OF ONE UNIT THERMAL SCANNER,56000,19/03/2020,26/03/2020,"HBI DIAGNOSTIKA, INC.",56000,19/03/2020,19/03/2020,MUNICIPALITY OF BINMALEY,1,Not classified,,,
8437,Procurement of Welfare Goods for COVID-19 Response,1000000,28/05/2020,01/06/2020,TACIANA SISON,56000,27/05/2020,28/05/2020,"LGU - Bokod, Benguet",0.056,Not classified,,,
8438,Purchase of Food Packs for PUMs/PUIs of COVID-19,56600,25/03/2020,27/03/2020,Taurus Rice Mill,56000,30/03/2020,31/03/2020,"LGU-VALDERRAMA, ANTIQUE",0.989399293,Not classified,,,
8439,"SUPPLY AND DELIVERY OF 1,120 PACKS PLASTIC BAG MEDIUM",56000,08/05/2020,08/05/2020,ILAGAN GOOD LUCK TRADING COPY CENTER,56000,08/05/2020,11/05/2020,"MUNICIPALITY OF NAGUILIAN, ISABELA",1,Not classified,,,
8440,Procurement of Rapid Test Supply,56000,16/06/2020,22/06/2020,JNK Medical Sales,56000,18/06/2020,19/06/2020,LGU-Remedios T. Romualdez,1,Not classified,,,
8441,Procurement of 1 Box of COVID-19 Antibody Test and 7 Units Infrared Thermometer,55965,24/04/2020,29/04/2020,Reta Drugs,55965,22/04/2020,29/04/2020,Bureau of Jail Management and Penology Regional Office I,1,Not classified,,,
8442,Purchase of goods,55920,14/04/2020,20/04/2020,Jamm's Office and School Supplies,55920,14/04/2020,20/04/2020,City Government of Cadiz,1,Not classified,,,
8443,Supply & Delivery of Perishable Goods & Grocery Items,60000,11/06/2020,22/06/2020,RLPAM Sari-Sari Store,55816.62,10/06/2020,11/06/2020,"Municipality of Guinayangan, Quezon",0.930277,Not classified,,,
8444,Supply and Delivery of Equipment for Disinfectant,55800,16/03/2020,25/03/2020,Aklan United Sales,55800,13/03/2020,18/03/2020,Municipality of Malay,1,Not classified,,,
8445,"Purchase of Medical Supplies for use at UCBF due to Enhance Community Quarantine (COVID19), Urdaneta City",55735,10/06/2020,15/06/2020,RSB General Merchandise,55735,11/06/2020,20/06/2020,CITY GOVERNMENT OF URDANETA,1,Not classified,,,
8446,Procurement of Personal Protective Equipment and Office Supplies for the Emergency Operations Center,56000,18/05/2020,26/05/2020,PS-DBM,55686.42,18/05/2020,26/05/2020,"Department of the Interior and Local Government, MIMAROPA Region",0.994400357,Not classified,,,
8447,Component 2 and 3 ARBold Move Project: Farm Productivity Assistance and Livelihood Support for Women in Crisis Situation,59815.06,03/06/2020,22/06/2020,Pacifica Agrivet Supplies Inc,55679.5,03/06/2020,22/06/2020,Department of Agrarian Reform Province of Antique,0.93086089,Not classified,,,
8448,Procurement of Various Materials COVID-19 Response,60000,01/06/2020,08/06/2020,Moatong Iron Works,55500,27/05/2020,01/06/2020,"LGU - Bokod, Benguet",0.925,Not classified,,,
8449,Procurement of Various Materials COVID-19 Response,55500,01/06/2020,22/06/2020,MOATONG IRON WORKS,55500,27/05/2020,01/06/2020,"LGU - Bokod, Benguet",1,Not classified,,,
8450,MS MS in Line filters,55361.15,06/07/2020,21/09/2020,Perkin Elmer Instruments Phils Corp,55361.15,06/07/2020,21/09/2020,Southern Philippines Medical Center,1,Not classified,,,
8451,Procurement of Supplemental Food and Non Food Items ( Procurement of 728 1/2 kg of Bihon),55328,18/05/2020,23/05/2020,Golden Three 168 Trading Inc.,55328,18/05/2020,18/05/2020,Department of Agrarian Reform Provincial Office-Marinduque,1,Not classified,,,
8452,"Procurement of Supplemental Food and Non Food Items ( Procurement of 2,912 cans of sardines)",55328,18/05/2020,23/05/2020,Golden Three 168 Trading Inc.,55328,18/05/2020,18/05/2020,Department of Agrarian Reform Provincial Office-Marinduque,1,Not classified,,,
8453,Procurement of Sticker/Relief Stab re: COVID-19,57600,21/04/2020,24/04/2020,"Pintang Pinoy T-Shirt Printing and Gen, Merchandise",55200,20/04/2020,22/04/2020,Local Government Unit - Santa Rosa,0.958333333,Not classified,,,
8454,Supply and Delivery of Supplies and Materials for COVID-19 Related Activities,55120,12/05/2020,12/05/2020,Procurement Service (PS-DBM),55120,12/05/2020,12/05/2020,Cavite State University,1,Not classified,,,
8455,Supply and Delivery of Rice,55000,06/04/2020,15/04/2020,"CAPITOL MILLING COMPANY, INC.",55000,27/03/2020,13/04/2020,DPWH CEBU 3RD DISTRICT ENGINEERING OFFICE,1,Not classified,,,
8456,Transfer and Re-installation of Hettich Centrifudge,65000,21/04/2020,21/05/2020,"Omnibus Bio-Medical Systems,Inc",55000,21/04/2020,21/04/2020,Bataan General Hospital and Medical Center,0.846153846,Not classified,,,
8457,Purchase of relief goods,57500,06/07/2020,13/07/2020,Nutrifresh Chicken Trading Corporation,55000,03/07/2020,06/07/2020,Municipality of Alimodian,0.956521739,Not classified,,,
8458,Underpads,55000,12/06/2020,12/07/2020,Berovan Marketing Inc,55000,12/06/2020,13/07/2020,Southern Philippines Medical Center,1,Not classified,,,
8459,Purchase of 10 units Military Bed for use Inside the Isolation/Quarantine Tents to Accommodate Probable Persons Under Monitoring/Investigation Related to COVID 19,60000,18/05/2020,25/05/2020,MARJENN OFFICE SUPPLIES AND EQUIPMENT TRADING,55000,15/05/2020,15/05/2020,"Local Government Unit of ~Mabini, Pangasinan",0.916666667,Not classified,,,
8460,Supply and Delivery of Wireless Access Point,55000,15/05/2020,23/06/2020,Infoshare Management Systems,55000,15/05/2020,15/05/2020,University of the Philippines Los Ba\\u00c3\\u00b1os,1,Not classified,,,
8461,Supply and Delivery of Assorted Vegetables,55000,24/04/2020,01/05/2020,JAYRIUS MANUEL,55000,29/04/2020,01/05/2020,Municipality of Quezon,1,Not classified,,,
8462,Procurement of Pulse Oximeter,80000,24/04/2020,08/06/2020,"Respicare Enterprises, Inc.",55000,15/04/2020,24/04/2020,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),0.6875,Not classified,,,
8463,Purchase of Face Masks for COVID 19 Crisis,55000,24/03/2020,24/03/2020,3K's Sari-Sari Store,55000,24/03/2020,06/04/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
8464,PROCUREMENT OF RICE,55000,01/04/2020,06/04/2020,RGM ARANDIA GENERAL MERCHANDISE,55000,01/04/2020,03/04/2020,"BARANGAY CAINGIN, MARAGONDON, CAVITE",1,Not classified,,,
8465,Underpads,55000,12/05/2020,12/06/2020,Berovan Marketing Inc,55000,12/05/2020,12/06/2020,Southern Philippines Medical Center,1,Not classified,,,
8466,Purchase of 50 pcs. Over-All Suits as Personal Protective Equipment for COVID 19,55000,01/05/2020,11/05/2020,MARJENN OFFICE SUPPLIES AND EQUIPMENT TRADING,55000,30/04/2020,30/04/2020,"Local Government Unit of ~Mabini, Pangasinan",1,Not classified,,,
8467,PROCUREMENT OF 10 GALLONS LIQUID SOLUTION CONCENTRATE TO CONTAIN COVID 19,55000,20/04/2020,27/04/2020,G CHEMTRADING CORPORATION,55000,20/04/2020,20/04/2020,"MUNICIPALITY OF PAKIL, LAGUNA",1,Not classified,,,
8468,Procurement of Personal Protective Equipment re:covid-19,57000,17/07/2020,22/07/2020,QUEBEC PHARMACEUTICAL INC.,55000,16/07/2020,17/07/2020,Local Government Unit - Santa Rosa,0.964912281,Not classified,,,
8469,Medicines for LPH-Nagcarlan District Hospital as Preparedness Measures and Response of the Provincial Government of Laguna against COVID-19,55008,28/04/2020,02/05/2020,Ideal Unomed Care Corp.,54999.36,24/04/2020,27/04/2020,PROVINCIAL GOVERNMENT OF LAGUNA,0.999842932,Not classified,,,
8470,Shygmomanometer,54900,10/06/2020,10/07/2020,Berovan Marketing Inc,54900,10/06/2020,10/07/2020,Southern Philippines Medical Center,1,Not classified,,,
8471,Procurement of Various Grocery Items,56700,05/06/2020,06/07/2020,Central Mart General Merchandise,54900,05/06/2020,09/06/2020,Province of Zamboanga del Norte,0.968253968,Not classified,,,
8472,"Examination Gloves Nitrile (Medical, Dental and Laboratory Supplies)",54900,22/06/2020,10/07/2020,Mediquip Medical Supplies & General Merchandise,54900,22/06/2020,23/06/2020,City Government of Tacurong,1,Not classified,,,
8473,PURCHASE OF OFFICE SUPPLIES,54870,14/04/2020,15/04/2020,PAULEN GENERAL MERCHANDISE,54856.6,14/04/2020,14/05/2020,"LOCAL GOVERNMENT UNIT-DEL GALLEGO, CAMARINES SUR",0.999755786,Not classified,,,
8474,PURCHASE OF OFFICE SUPPLIES,54870,08/04/2020,14/04/2020,PAULEN GENERAL MERCHANDISE,54856.6,14/04/2020,14/04/2020,"LOCAL GOVERNMENT UNIT-DEL GALLEGO, CAMARINES SUR",0.999755786,Not classified,,,
8475,PURCHASE OF OFFICE SUPPLIES,54870,08/04/2020,14/04/2020,PAULEN GENERAL MERCHANDISE,54856.6,14/04/2020,14/04/2020,"LOCAL GOVERNMENT UNIT-DEL GALLEGO, CAMARINES SUR",0.999755786,Not classified,,,
8476,Furnishing Food Supplies/Food Assistance to Indigent Families in this Municipality,54855,09/04/2020,13/04/2020,Jackpot Drug & General Merchandise,54855,10/04/2020,09/04/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
8477,Procurement of  Supplies and Materials to be used for the prevention and control on COVID 19,401315.5,14/04/2020,23/06/2020,FKV Beauty Products Shop,54820,14/04/2020,16/04/2020,Batangas State University,0.136600754,Not classified,,,
8478,Service Fee for the availment of Remittance Center for the Implementation of Financial Assistance for Displaced Landbased and Seabased Filipino Workers due to the COVID-19 DOLE AKAP (3rd Tranche),54780,28/05/2020,16/06/2020,Palawan Express Pera Padala,54780,28/05/2020,28/06/2020,Department of Labor and Employment,1,Not classified,,,
8479,Purchase of Supplies and Materials for VCIU,57000,01/05/2020,05/05/2020,Salve's Dry Goods Trading,54720,06/05/2020,07/05/2020,"LGU-VALDERRAMA, ANTIQUE",0.96,Not classified,,,
8480,Purchase of Medical Supplies,54695,20/03/2020,20/03/2020,3K's Sari-Sari Store,54695,20/03/2020,20/03/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
8481,"AVL Na+ Electrode, (3110419180), pack",54637.1,25/06/2020,16/07/2020,"METRO DRUG, INC.",54637.1,14/05/2020,14/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
8482,PaSSOver: ARBold Move for Deliverance from Covid-19 Pandemic -Component 2: Farm Productivity Assistance to ARBs (farm tools & inputs),1343872,11/06/2020,18/06/2020,Jama Fruit & Vegetable Store,54600,02/06/2020,11/06/2020,DEPARTMENT OF AGRARIAN REFORM - CATANDUANES,0.040628869,Not classified,,,
8483,VARIOUS FOOD & OTHER SUPPLIES FOR USE ON ISOLATED PERSONS UNDER MONITORING (PUM's) OF COVID -19,54585,14/04/2020,14/04/2020,D' ANCHOR ENTERPRISES,54585,14/04/2020,15/04/2020,CITY GOVERNMENT OF KORONADAL,1,Not classified,,,
8484,Procurement of Medical Supplies,54567.06,23/04/2020,03/06/2020,Procurement Service,54567.06,23/04/2020,23/04/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
8485,VARIOUS SUPPLIES FOR THE USE OF CMO - COVID 19 OUTBREAK FACILITY,54500,17/04/2020,27/04/2020,4M GENERAL MERCHANDISE,54500,17/04/2020,17/04/2020,LGU Tagum City,1,Not classified,,,
8486,Procurement of Various General Merchandise,56000,16/04/2020,15/05/2020,Central Mart General Merchandise,54500,16/04/2020,16/04/2020,Province of Zamboanga del Norte,0.973214286,Not classified,,,
8487,Printing of Social amelioration Card and Sticker Paper A4,58875,02/04/2020,15/04/2020,Eagle Printing & Publishing,54312.5,01/04/2020,06/04/2020,Municipality of Malay,0.922505308,Not classified,,,
8488,FOOD ASSISTANCE FOR MEDICAL AND LGU PERSONNEL INVOLVED IN COVID-1,54269.4,30/04/2020,30/05/2020,LICAY GENERAL MERCHANDISE,54269.4,30/04/2020,30/04/2020,"LOCAL GOVERNMENT OF SAN LUIS, AURORA",1,Not classified,,,
8489,Procurement of medical supplies and equipments for covi19 emergency,1027500,30/03/2020,13/04/2020,E&M Trading,54250,27/03/2020,27/03/2020,City Government of Malaybalay,0.052798054,Not classified,,,
8490,"Purchase of medicines, vitamins and medical supplies",60000,09/06/2020,16/06/2020,Pharma Medica Pharmaceuticals,54230,09/06/2020,09/06/2020,Municipal Government of Paracelis,0.903833333,Not classified,,,
8491,FARM PRODUCTIVITY SUPPORT FOR AGRARIAN REFORM BENEFICIARIES IN AURORA-PACKAGE II,54150,25/05/2020,16/06/2020,ASS GENERAL MERCHANDISE,54150,09/06/2020,16/06/2020,DEPARTMENT OF AGRARIAN REFORM-AURORA,1,Not classified,,,
8492,FARM PRODUCTIVITY SUPPORT FOR AGRARIAN REFORM BENEFICIARIES IN AURORA-PACKAGE II,54150,25/05/2020,05/06/2020,MIKKO'S AGRICULTURAL & POULTRY SUPPLY,54150,05/06/2020,13/06/2020,DEPARTMENT OF AGRARIAN REFORM-AURORA,1,Not classified,,,
8493,Delivery of materials for Swab test booths,54660,20/04/2020,24/04/2020,EC Cantina Trading,54094,16/04/2020,17/04/2020,Municipal Government of Carmona,0.989645079,Not classified,,,
8494,SUPPLY OF GOODS FOR FRONTLINERS,54040,01/05/2020,15/05/2020,ANNE M. BACADON,54040,07/05/2020,11/05/2020,"LGU-NAAWAN, MISAMIS ORIENTAL",1,Not classified,,,
8495,Procurement of Washable Over-All Suits-Cloth (Non-Woven),57600,30/04/2020,15/05/2020,CARESS88 TAILORING & MARKETING,54000,30/04/2020,30/04/2020,"LGU - CITY OF NAGA, CEBU",0.9375,Not classified,,,
8496,Cadaver Bag for COVID 19,54000,05/05/2020,06/05/2020,Kelsey's Trading,54000,05/05/2020,05/05/2020,"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY",1,Not classified,,,
8497,Procurement of Personal Protective Equiment,54000,27/04/2020,27/04/2020,Meihao Corporation,54000,27/04/2020,27/04/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
8498,Supply and Delivery of Meals and Snacks of CSWD Staff/Personnel,54000,05/05/2020,08/05/2020,JMINA Catering Services and Gowns,54000,05/05/2020,06/05/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8499,Procurement of Equipment,54000,16/04/2020,16/04/2020,Dacrisdeek Enterprises,54000,16/04/2020,16/04/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
8500,Supply and Delivery of Meals and Snacks for CSWD Staff/Personnel,54000,05/05/2020,12/05/2020,JMina Catering Services and Gowns,54000,05/05/2020,08/05/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8501,PaSSOver: ARBold Move for Deliverance from Covid-19 Pandemic -Component 4: Package of Supplemental Food & Hygiene Package (face mask),54000,09/05/2020,16/05/2020,Burac Hawan Ilaya Agriculture Cooperative (BUHAICO),54000,08/05/2020,09/05/2020,DEPARTMENT OF AGRARIAN REFORM - CATANDUANES,1,Not classified,,,
8502,Procurement of Meals served during hauling & distribution of relief goods,54000,12/05/2020,26/05/2020,Bukidnon Diners,54000,11/05/2020,12/05/2020,City Government of Malaybalay,1,Not classified,,,
8503,Fit Test Solution,70000,16/06/2020,31/12/2020,Rebmann Incorporated,54000,10/06/2020,16/06/2020,Jose R. Reyes Memorial Medical Center,0.771428571,Not classified,,,
8504,Supply and delivery of 30 sacks to be used for Relief Assistance,54000,19/03/2020,25/03/2020,Basba̱o Rice Retailer,53850,25/03/2020,25/03/2020,Local Government Unit of Concepcion,0.997222222,Not classified,,,
8505,Purchase and Delivery of Other Supplies and Materials,53800,11/06/2020,10/07/2020,JYD ENTERPRISES,53800,11/06/2020,15/06/2020,LGU Galimuyod,1,Not classified,,,
8506,"Pipette tip, 200 ul, aerosol-resistant, sterilized, hyper filter tips, 10 racks/box (Watson Cat no. 125-200S)",53790,25/06/2020,23/09/2020,"LIFELINE DIAGNOSTICS SUPPLIES, INC.",53790,11/05/2020,11/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
8507,RELIEF GOODS,53789,07/05/2020,08/05/2020,GAISANO CAPITAL BINANGONAN,53789,06/05/2020,07/05/2020,LGU Binangonan,1,Not classified,,,
8508,"Emergency Procurement of Operation Supplies ( Tent and Hygiene Kits [Tooth brush, Tooth Paste, Face Towel, Comb, Cotton buds, wet wipes, shampoo 70ml, pall diaper and basin] to Combat Covid-19)",54000,20/05/2020,27/06/2020,D. Graphics and General Merchandise,53600,20/05/2020,20/05/2020,"LGU-Mercedes, Eastern Samar",0.992592593,Not classified,,,
8509,Supply and Delivery of Materials for the Installation of Washing Area,56225,21/04/2020,21/04/2020,NRNS TRADING & CONSTRUCTION SUPPLIES,53493,21/04/2020,21/04/2020,Municipality of Quezon,0.951409515,Not classified,,,
8510,Supply and Delivery of Various Drugs and Medicines,1758189,23/06/2020,14/07/2020,"EURO-MED LAB. PHIL., INC",53425,23/06/2020,14/07/2020,Talisay District Hospital,0.030386381,Not classified,,,
