,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
565,GREEN AXIS CONSTRUCTION,Single Proprietorship,26-May-2014,Platinum,Active,07-Jul-2020,07-Jul-2021,2014051029781423916469
566,ROSARY GASOLINE STATION,Single Proprietorship,16-Apr-2015,Platinum,Active,02-Jul-2020,22-Jul-2021,201504133164290169716
567,TRIBATA CONSTRUCTION AND DEVELOPMENT,Single Proprietorship,28-Nov-2012,Platinum,Active,02-Jul-2020,02-Jul-2021,201211626872076104532
568,HOLY ANGEL TRADING,Single Proprietorship,10-Jul-2014,Platinum,Active,10-Jul-2020,11-Jul-2021,201407107681844648460
569,KAWAN AGRICULTURAL FARM,Single Proprietorship,23-Mar-2020,Platinum,Active,02-Jul-2020,02-Jul-2021,202003214952255982540
570,ZURCERVS SERVICES CORPORATION,Corporation,17-May-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016051712262126544916
571,"ST. MORITZ SECURITY AGENCY, INC.",Corporation,09-Jul-2004,Platinum,Active,02-Jul-2020,02-Jul-2021,2004074419758362999
572,DANLUIQUE ELECTRO MECHANICAL SUPPLY CORP,Corporation,25-Jan-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016011597201328261992
573,OAKWEN MARKETING,Single Proprietorship,13-Apr-2007,Platinum,Active,03-Jul-2020,03-Jul-2021,200704134301253481760
574,DAVOCOL'S GENERAL MERCHANDISE,Single Proprietorship,29-Jul-2010,Platinum,Active,03-Jul-2020,05-Jul-2021,201007348691341351624
575,AJJ CONSTRUCTION AND SUPPLY,Single Proprietorship,25-Jun-2020,Platinum,Active,02-Jul-2020,02-Jul-2021,202006219209972380848
576,REALPRINT ENTERPRISES,Single Proprietorship,01-Jul-2009,Platinum,Active,03-Jul-2020,14-Aug-2021,200907274371273092827
577,347 SCHOOL OFFICE SUPPLIES INC.,Corporation,21-Sep-2011,Platinum,Active,03-Jul-2020,05-Jul-2021,20110944169602051559
578,FIRST MAKEEN CONSTRUCTION,Single Proprietorship,27-Apr-2009,Platinum,Active,06-Jul-2020,10-Aug-2021,20090426274591108076
579,"PHARMA GALENX INNOVATIONS, INC.",Corporation,06-Nov-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,201811697881556280066
580,FARMACIA NORHIZA,Single Proprietorship,26-Mar-2004,Platinum,Active,03-Jul-2020,18-Jul-2021,20040335961167278963
581,EVERLAND AGRI CORPORATION,Corporation,04-Jun-2020,Platinum,Active,02-Jul-2020,02-Jul-2021,202006217746395770052
582,AKRIZ PRINTING PRESS,Single Proprietorship,27-Jul-2009,Platinum,Active,02-Jul-2020,02-Jul-2021,20090727876780723138
583,"INKLINE OFFICE SOLUTIONS, INC.",Corporation,08-Feb-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,2018021158651666726319
584,TSG IT ADVANCED SYSTEMS LTD.,Foreign Company Organization,13-Jul-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,201807899662024707844
585,ACE CENTERPOINT,Single Proprietorship,09-Dec-2009,Platinum,Active,03-Jul-2020,23-Jul-2021,200912300232093971005
586,BICOL STANDARD,Single Proprietorship,18-Jan-2011,Platinum,Active,06-Jul-2020,06-Jul-2021,201101377321308321159
587,ENPALAPALAD DIAGNOSTIC CENTER,Single Proprietorship,14-Nov-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,201411120006723141033
588,ERIDANUS MARKETING CORPORATION,Corporation,22-Aug-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,2014081119601348343467
589,FAJARDO PHARMA DRUG DISTRIBUTOR,Single Proprietorship,16-Sep-2013,Platinum,Active,06-Jul-2020,06-Jul-2021,201309822371770829
590,ORO AUTOWORLD,Single Proprietorship,26-Sep-2012,Platinum,Active,02-Jul-2020,22-Jul-2021,20120959530323551302
591,"ABIVA PUBLISHING HOUSE, INC",Corporation,03-Feb-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,20040225451606902240
592,"RURAL BANK OF GUINOBATAN, INC.",Corporation,12-Aug-2013,Platinum,Active,06-Jul-2020,06-Jul-2021,201308791541269727683
593,COV MEDICAL SUPPLIES AND EQUIPMENTS,Single Proprietorship,15-Dec-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,2014121224601360801362
594,GOLDEN ARROW ELECTROCARE CORP.,Corporation,14-Feb-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,2017021799831269682561
595,FLEXY MEDICAL SUPPLY,Single Proprietorship,05-May-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,2020052160872129573071
596,"RIVERSIDE PARTS MASTER, INCORPORATED",Corporation,23-Jul-2015,Platinum,Active,02-Jul-2020,02-Jul-2021,201507142886308184124
597,DAVAO MEDWORLD DIAGNOSTIC COMPANY,Partnership,08-Jun-2012,Platinum,Active,23-Jul-2020,03-Aug-2021,20120654114457562369
598,PHILIPPINE AYYU DIVERSIFIED CORPORATION,Corporation,10-Jul-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,201807903971791291012
599,REINN MATTEA GENERAL MERCHANDISE,Single Proprietorship,18-Jan-2016,Platinum,Active,02-Jul-2020,02-Jul-2021,201601158944387048896
600,TJ GRILL CORP.,Corporation,17-Aug-2016,Platinum,Active,06-Jul-2020,16-Aug-2021,2016081818811504296172
601,AMOROLFO MARKETING,Single Proprietorship,30-Jan-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,20140192494869875970
602,MIGS GENERAL MERCHANDISE,Single Proprietorship,22-Feb-2017,Platinum,Active,27-Jul-2020,27-Jul-2021,2017021781001354117158
603,INMAR BUILDER AND ENTERPRISES,Single Proprietorship,28-Jan-2014,Platinum,Active,07-Jul-2020,07-Jul-2021,201401922711008515459
604,JOWIL ENTERPRISES,Single Proprietorship,16-Nov-2006,Platinum,Active,06-Jul-2020,06-Jul-2021,20061111735295131179
605,79 CORNERSTONE CONSTRUCTION DEVELOPMENT CORPORATION,Corporation,20-May-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,201405102403466771726
606,REDVOLKS ENTERPRISE,Single Proprietorship,23-Feb-2018,Platinum,Active,10-Aug-2020,10-Aug-2021,2018021131061493585348
607,DLBB PAPEL LAPIS ATBP,Single Proprietorship,01-Jul-2015,Platinum,Active,03-Jul-2020,27-Jul-2021,201507140607240467602
608,ON TIME BUILDERS INCORPORATED,Corporation,04-Apr-2017,Platinum,Active,02-Jul-2020,02-Jul-2021,201704169152313807350
609,GENRUZ CONSTRUCTION & SUPPLIES,Single Proprietorship,20-Sep-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,20120959200740027762
610,EROB TRADING,Single Proprietorship,09-May-2017,Platinum,Active,02-Jul-2020,02-Jul-2021,201705163703509759940
611,JAMES ERVIN TATEL ENTERPRISES,Single Proprietorship,18-Feb-2017,Platinum,Active,07-Jul-2020,07-Jul-2021,201702178973403713379
612,MTJ CONSTRUCTION AND SUPPLY,Single Proprietorship,19-Jul-2004,Platinum,Active,14-Jul-2020,14-Jul-2021,20040745191377882577
613,EASYTIMES ENTERPRISE,Single Proprietorship,16-Aug-2017,Platinum,Active,03-Aug-2020,03-Aug-2021,201708145064629288473
614,R. C. GERONIMO BUILDERS INC.,Corporation,14-Dec-2018,Platinum,Active,02-Jul-2020,02-Jul-2021,201812627221679413367
615,HIGH RISER CONSTRUCTION & TRADING,Single Proprietorship,10-Sep-2012,Platinum,Active,02-Jul-2020,02-Jul-2021,20120958648888396224
616,SYSTRA PHILIPPINES INCORPORATED,Corporation,29-Jul-2008,Platinum,Active,02-Jul-2020,02-Jul-2021,20080721738104152208
617,FULL CIRCLE TRADING,Single Proprietorship,08-May-2005,Platinum,Active,10-Jul-2020,10-Jul-2021,2005057281140348357
618,CAMCU CONSTRUCTION AND SUPPLIES,Single Proprietorship,25-Jun-2007,Platinum,Active,02-Jul-2020,02-Jul-2021,200706144503786149900
619,RIVADULLA CONSTRUCTION AND REALTY,Single Proprietorship,23-Jun-2020,Platinum,Active,02-Jul-2020,02-Jul-2021,2020062189391683010855
620,SOUND PORT RESORT AND RESTAURANT,Single Proprietorship,12-Dec-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,20171212412349313703
621,GOLDRICH CONSTRUCTION AND TRADING,Single Proprietorship,28-Feb-2007,Platinum,Active,03-Jul-2020,17-Jul-2021,20070212945932230388
622,APPLIED CALIBRATION & INSTRUMENTATION SYSTEM INCORPORATED,Corporation,20-May-2009,Platinum,Active,06-Jul-2020,06-Jul-2021,200905266501158571418
623,GENCARS SAN PABLO INCORPORATED,Corporation,12-Apr-2002,Platinum,Active,14-Jul-2020,14-Jul-2021,2002046341083271960
624,RWINS GENERAL MERCHANDISE,Single Proprietorship,17-Aug-2006,Platinum,Active,06-Jul-2020,06-Jul-2021,200608108722022666734
625,CARE MED TRADING,Single Proprietorship,18-Aug-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,201408111404954985485
626,NBLM ENTERPRISES,Single Proprietorship,25-Aug-2009,Platinum,Active,02-Jul-2020,02-Jul-2021,20090828322553778729
627,PLERM CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,09-Mar-2009,Platinum,Active,01-Jul-2020,01-Jul-2021,20090325294833737676
628,GREAT HARVEST FOOD INDUSTRY,Single Proprietorship,15-Mar-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,201703173785146191042
629,STARGO ENTERPRISES,Single Proprietorship,08-Apr-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,201704168107737450711
630,ARGE CONSTRUCTION AND SUPPLY,Single Proprietorship,05-Dec-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201812641571791971005
631,"UNIFIED WORKERS CONSTRUCTION & DEVELOPMENT MPC, INC.",Corporation,27-Jun-2013,Platinum,Active,10-Jul-2020,17-Aug-2021,20130675156924745768
632,STALL CONSTRUCTION SUPPLIES & SERVICES,Single Proprietorship,11-May-2005,Platinum,Active,03-Jul-2020,03-Jul-2021,20050573071117828250
633,"BELL-KENZ PHARMA, INC.",Corporation,14-Sep-2006,Platinum,Active,24-Jul-2020,13-Aug-2021,2006092549877697226
634,RAIN OFFICE SUPPLIES AND DISASETER EQUIPMENT,Single Proprietorship,05-Nov-2015,Platinum,Active,10-Jul-2020,10-Jul-2021,2015111531091776377235
635,EIGEL MANAGEMENT CONSULTING,Single Proprietorship,05-Jul-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,2017071533591461711507
636,PEGASUS AIR SERVICES INC,Corporation,26-Feb-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,201602163414596356324
637,ROSMIC WASH LAUNDRY SERVICES,Single Proprietorship,12-Dec-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20191254321344499780
638,JYG AND SON'S TRADING,Single Proprietorship,10-Apr-2015,Platinum,Active,01-Jul-2020,01-Jul-2021,201504132545395816801
639,THEMELIUS TRADING & PRINTING SERVICES,Single Proprietorship,11-Jun-2008,Platinum,Active,01-Jul-2020,01-Jul-2021,200806209461287446971
640,TOTAL ORTHO MEDICAL SUPPLIES SOLUTION INC.,Corporation,16-Dec-2009,Platinum,Active,03-Jul-2020,03-Jul-2021,20091230122435366624
641,CI-GOLDEN ENTERPRISES,Single Proprietorship,11-Apr-2014,Platinum,Active,03-Jul-2020,09-Jul-2021,20140499435250151893
642,CAROLINA GOLDEN AQUARIUS ENTERPRISES,Single Proprietorship,31-Aug-2011,Platinum,Active,03-Jul-2020,09-Jul-2021,20110843578929461251
643,CATBALOGAN SHELL SERVICE STATION,Single Proprietorship,10-Jul-2008,Platinum,Active,03-Jul-2020,03-Jul-2021,20080721474715143493
644,MARVERIC BUILDERS,Single Proprietorship,09-Jul-2007,Platinum,Active,03-Jul-2020,03-Jul-2021,200707150115691589
645,"UNIFIED PROPERTY AND ACCIDENT INSURANCE SYSTEM FOR EDUCATION(UPRAISE) AGENCY, INC.",Corporation,11-Feb-2013,Platinum,Active,03-Jul-2020,03-Jul-2021,201302658131471288605
646,ZHUJAR MANUFACTURING INCORPORATION,Corporation,30-Nov-2016,Platinum,Active,01-Jul-2020,26-Jul-2021,2016111913671234920976
647,ANICIA T. PAMPANGAN TRADING,Single Proprietorship,08-Jun-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,20180695619119798934
648,FEJAD CONSTRUCTION CORP.,Corporation,24-Mar-2017,Platinum,Active,10-Aug-2020,10-Aug-2021,201703171515527176147
649,ESTATEWINE INC.,Corporation,09-Feb-2017,Platinum,Active,10-Jul-2020,16-Aug-2021,201702181021435134772
650,V. JYN ENTERPRISES,Single Proprietorship,29-Oct-2013,Platinum,Active,03-Jul-2020,04-Jul-2021,201310858291703694250
651,J. C. SUELLO SURVEYING AND ENGINEERING SERVICES,Single Proprietorship,03-Mar-2005,Platinum,Active,17-Jul-2020,17-Jul-2021,200503674162219335
652,ORMOC RIZAL ENTERPRISES COMPANY,Partnership,01-Feb-2005,Platinum,Active,03-Jul-2020,15-Jul-2021,200502216171814683801
653,IRONCLAD ENGINEERING AND GENERAL SERVICES,Single Proprietorship,11-Jun-2018,Platinum,Active,14-Aug-2020,14-Aug-2021,20180695250145008322
654,DHAYANG CONSTRUCTION FIRM,Single Proprietorship,15-Jun-2007,Platinum,Active,05-Aug-2020,05-Aug-2021,2007061431559550229
655,"SOUTHERN MOTORS OF DAVAO, INC.",Corporation,24-Aug-2004,Platinum,Active,06-Jul-2020,28-Jul-2021,20040849561641769834
656,ALBERTO UY CONSTRUCTION & DEVELOPMENT,Single Proprietorship,09-Feb-2005,Platinum,Active,03-Jul-2020,03-Jul-2021,20050264521070277012
657,MEGCA CONSTRUCTION,Single Proprietorship,07-Mar-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,201903515901643024434
658,LEGAZPI ALIBAR FOODS INC.,Corporation,22-May-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,201805985761035366680
659,"ANALYTICAL & SAMPLE PREP MACHINES ENTERPRISE, INC.",Corporation,21-Jun-2016,Platinum,Active,10-Jul-2020,29-Jul-2021,201606174755473384364
660,THE BRAIN COMPUTER CORPORATION,Corporation,29-Jun-2001,Platinum,Active,03-Jul-2020,17-Jul-2021,200106114731152036981
661,CJ LHANZ TRADING AND COMPUTER CENTER,Single Proprietorship,16-Feb-2010,Platinum,Active,03-Jul-2020,03-Jul-2021,20100232118309831249
662,JAYLOT TRADING & CONSTRUCTION,Single Proprietorship,15-May-2006,Platinum,Active,16-Jul-2020,16-Jul-2021,20060510161139282633
663,AIRCODE CORPORATION,Corporation,17-Nov-2003,Platinum,Active,14-Jul-2020,14-Jul-2021,20031120451198235999
664,MONTEREY BUILDERS,Single Proprietorship,28-Sep-2005,Platinum,Active,06-Jul-2020,06-Jul-2021,20050984071514596163
665,NAMNAMA CONSTRUCTION SUPPLIES,Single Proprietorship,14-Mar-2012,Platinum,Active,03-Jul-2020,03-Jul-2021,20120350251662370318
666,"RAMY CONSTRUCTION, INC.",Corporation,16-Mar-2011,Platinum,Active,03-Jul-2020,03-Jul-2021,201103395281983506829
667,MS LUCEÑA ENGINEERING AND CONSTRUCTION SERVICES,Single Proprietorship,02-Mar-2017,Platinum,Active,06-Jul-2020,10-Jul-2021,201703175849727023371
668,LUXESE CORP.,Corporation,27-May-2015,Platinum,Active,06-Jul-2020,06-Jul-2021,2015051369741332025713
669,M.A. GUINTO CONSTRUCTION,Single Proprietorship,27-Jul-2005,Platinum,Active,06-Jul-2020,06-Jul-2021,20050779041820803812
670,CHAPTER 2 GENERAL MERCHANDISE,Single Proprietorship,19-Sep-2005,Platinum,Active,06-Jul-2020,06-Jul-2021,20050983261772377745
671,LUCEÑA'S ELECTRICAL SUPPLY,Single Proprietorship,26-Apr-2013,Platinum,Active,06-Jul-2020,10-Jul-2021,201304707991815727825
672,OPTIMUS INNOVATIVE TECHNOLOGIES CORP.,Corporation,18-Jul-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,2013077685818551884
673,LEMACA CONSTRUCTION AND ENTERPRISE,Single Proprietorship,02-Aug-2016,Platinum,Active,03-Aug-2020,03-Aug-2021,2016081797831501874109
674,LAOHOO BUILDING RENTALS,Single Proprietorship,31-Aug-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,2018088094670459619
675,DATUIN MACHINE WORKS - MAIN OFFICE,Single Proprietorship,26-Aug-2010,Platinum,Active,03-Jul-2020,03-Jul-2021,20100835490375538106
676,C.BAUTISTA TRADING,Single Proprietorship,17-Jul-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201907322971838710564
677,MYK'S WATER HUB REFILLING STATION,Single Proprietorship,26-May-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,2020052170461809363383
678,APDS AUTOMATION AND POWER DISTRIBUTION SERVICES,Single Proprietorship,06-Mar-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,201403960312146682751
679,POALA FARM AGRO INDUSTRIAL SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,17-Apr-2015,Platinum,Active,03-Jul-2020,03-Jul-2021,2015041333201556854611
680,"COMMANDER SECURITY SERVICES, INC.",Corporation,13-Dec-2004,Platinum,Active,03-Jul-2020,03-Jul-2021,20041259021878231680
681,SCARABUS INC,Corporation,28-May-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201805977192057169939
682,KENMART MARKETING,Single Proprietorship,15-Apr-2008,Platinum,Active,03-Jul-2020,11-Jul-2021,20080419938207597424
683,APOLLO TECHNOLOGIES INC,Corporation,28-Aug-2012,Platinum,Active,03-Jul-2020,03-Jul-2021,201208579431408480851
684,JEM & FERDS GENERAL MERCHANDISE,Single Proprietorship,03-Jul-2015,Platinum,Active,07-Jul-2020,07-Jul-2021,2015071407061153088426
685,MARINE INBOX TRADING CORP.,Corporation,21-Mar-2011,Platinum,Active,03-Jul-2020,03-Jul-2021,201103396101225678801
686,"PARAISO VERDE RESORT, INC.",Corporation,11-Oct-2016,Platinum,Active,06-Jul-2020,09-Jul-2021,2016101884911422785375
687,PRECIOUS FEMS CATERING SERVICES,Single Proprietorship,16-Jun-2015,Platinum,Active,07-Jul-2020,07-Jul-2021,201506138890966145574
688,HERVELYN INTERTRADING & BUILDERS CORPORATION,Corporation,03-Mar-2006,Platinum,Active,06-Jul-2020,06-Jul-2021,20060396271148859678
689,MJP CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,28-Mar-2005,Platinum,Active,13-Jul-2020,13-Jul-2021,2005036949458563280
690,OLS AUTOMOTIVE PARTS & SERVICES,Single Proprietorship,13-Nov-2015,Platinum,Active,03-Aug-2020,03-Aug-2021,20151115406178209883
691,MRV PHARMA DISTRIBUTOR,Single Proprietorship,19-Mar-2009,Platinum,Active,07-Jul-2020,19-Jul-2021,200903400831878490828
692,YAKAL CONSTRUCTION,Single Proprietorship,31-Aug-2005,Platinum,Active,06-Jul-2020,06-Jul-2021,20050881731918988655
693,HARDY COM COMPUTERS SALES,Single Proprietorship,11-Jul-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,2014071079101555371175
694,AR NETWORK SYSTEMS INTEGRATION PHILIPPINES INC,Corporation,21-Jun-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,201906369521405114762
695,R2DC CONSTRUCTION,Single Proprietorship,31-May-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20190540370502294957
696,BACHOCO CONSTRUCTION AND SUPPLY,Single Proprietorship,20-Mar-2018,Platinum,Active,03-Jul-2020,26-Jul-2021,20180310867168210549
697,RAZMER'S TRADING,Single Proprietorship,27-Feb-2006,Platinum,Active,13-Jul-2020,29-Jul-2021,20060295491059065417
698,JAYMAR BUILDER,Single Proprietorship,26-Apr-2006,Platinum,Active,13-Jul-2020,13-Jul-2021,20060410037267080395
699,FM LIMPIADO LUMBER AND HARDWARE,Single Proprietorship,25-Jun-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,201206548591643007007
700,G.E.R.A.R.R. TRADING,Single Proprietorship,30-Oct-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,2014101183791654741482
701,3TP MERCHANDISE,Single Proprietorship,30-Mar-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016031671561974719040
702,NORDAN NGILAY ESPADILA LIVE'S STOCK,Single Proprietorship,03-Feb-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201402927421084444330
703,"ERIN MILES MANPOWER AND GENERAL SERVICES, INC.",Corporation,25-Apr-2008,Platinum,Active,03-Jul-2020,04-Jul-2021,200804274601979313784
704,NEALA VENTURES INCORPORATED,Corporation,21-May-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201405102610181880420
705,COCHING CONSTRUCTION SUPPLY AND SERVICES,Single Proprietorship,21-Jan-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,201601159287730419024
706,IJOJPA CONSTRUCTION,Single Proprietorship,03-May-2019,Platinum,Active,10-Aug-2020,10-Aug-2021,20190544059678311092
707,GREAT HARVEST COMMODITIES PH INC,Corporation,01-Apr-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,2017041696661839380737
708,"GLOBAL APEX VENTURES, INC.",Corporation,10-Jun-2008,Platinum,Active,21-Jul-2020,21-Jul-2021,200806209152044992789
709,ADVANCE SOLUTION ENTERPRISES,Single Proprietorship,30-Jan-2009,Platinum,Active,03-Jul-2020,03-Jul-2021,20090125775424081968
710,TECHTWIST CORPORATION,Corporation,26-Nov-2016,Platinum,Active,03-Aug-2020,03-Aug-2021,201611191579197658132
711,CHANGER INDUSTRIAL SALES,Single Proprietorship,26-Nov-2007,Platinum,Active,29-Jul-2020,29-Jul-2021,200711177091600944542
712,BDF CONSTRUCTION,Single Proprietorship,15-Feb-2013,Platinum,Active,03-Jul-2020,03-Jul-2021,20130266204130635366
713,IKONSTRUKT-BIM CORPORATION,Corporation,22-Mar-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,20190349178285073878
714,CHECKPOINT PETROLEUM HUB INC.,Corporation,17-Feb-2020,Platinum,Active,07-Jul-2020,07-Jul-2021,202002210904762295299
715,NEALA ENTERPRISES,Single Proprietorship,29-Jun-2010,Platinum,Active,06-Jul-2020,15-Jul-2021,2010063430863753238
716,HAIYAN PEAK DEVELOPMENT CORPORATION UNDER THE TRADE NAME/SOF HAIYAN HOTEL AND RESORT,Corporation,28-Jan-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,20190158228714517061
717,APRIL JOY HOME DECORS AND FURNITURE,Single Proprietorship,12-Oct-2006,Platinum,Active,03-Jul-2020,03-Jul-2021,200610113862020864120
718,FORMS INTERNATIONAL ENTERPRISES CORP.,Corporation,21-Jan-2002,Platinum,Active,03-Jul-2020,03-Jul-2021,20020136727777838
719,"STARCOM MANPOWER & ALLIED SERVICES, INC.",Corporation,13-Apr-2015,Platinum,Active,03-Jul-2020,03-Jul-2021,201504132728974334331
720,FMP ENTERPRISES,Single Proprietorship,26-Sep-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201809762661678672311
721,"GLASSMATE GLASS, ALUMINUM AND GENERAL MERCHANDISE",Single Proprietorship,01-Aug-2016,Platinum,Active,15-Jul-2020,15-Jul-2021,2016081796201529012870
722,SEVEN J OFFICE SUPPLIES & EQUIPMENT,Single Proprietorship,13-Apr-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,2018041047971632534777
723,ECO BUILDERS CONSTRUCTION & SUPPLIES,Single Proprietorship,21-Feb-2017,Platinum,Active,10-Jul-2020,23-Jul-2021,2017021788081476942673
724,DIGIT-ALL ENTERPRISES,Single Proprietorship,26-Jun-2013,Platinum,Active,03-Jul-2020,04-Jul-2021,20130675104458959936
725,YELLOW OCEAN CONSTRUCTION & TRADING INC.,Corporation,24-May-2017,Platinum,Active,13-Jul-2020,13-Jul-2021,201705160737945897475
726,AJ CONSTRUCTION AND SUPPLIES,Single Proprietorship,08-Apr-2014,Platinum,Active,07-Aug-2020,07-Aug-2021,20140499027804008919
727,M.P. RUBIO ENGINEERING MANAGEMENT AND SERVICES,Single Proprietorship,03-Jul-2014,Platinum,Active,07-Jul-2020,13-Jul-2021,201407106955519922267
728,"LEGAZPI OLYMPIA MARKETING, INC. DOING BUSINESS UNDER THENAME AND STYLE OF LEGAZPI OLYMPIA MERCHANDISING",Corporation,06-Aug-2013,Platinum,Active,03-Jul-2020,14-Aug-2021,201308786871723199650
729,LONNIE CONSTRUCTION,Single Proprietorship,09-Feb-2011,Platinum,Active,10-Aug-2020,10-Aug-2021,201102384732086631466
730,RPD CONSULTING INC.,Corporation,03-Feb-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,2020022094082104553175
731,SUR GENERAL MERCHANT,Single Proprietorship,28-Oct-2009,Platinum,Active,03-Jul-2020,11-Jul-2021,200910292801048103578
732,BAJE CONSTRUCTION,Single Proprietorship,27-Oct-2008,Platinum,Active,10-Aug-2020,10-Aug-2021,20081023144956374275
733,HRB CONSTRUCTION,Single Proprietorship,13-Jul-2006,Platinum,Active,16-Jul-2020,16-Jul-2021,20060710590461356307
734,SQUARECANOPY SECURITY AGENCY,Single Proprietorship,28-Dec-2018,Platinum,Active,06-Jul-2020,06-Jul-2021,201812617631018395125
735,CSC MEAT SUPPLY,Single Proprietorship,27-Nov-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,201211625691364838668
736,DEMCOR ENGINEERS CO.,Partnership,11-Jan-2010,Platinum,Active,13-Jul-2020,13-Jul-2021,20100130283168041400
737,KWN MULTI TRADING,Single Proprietorship,28-May-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,202005217320983040075
738,BENMAR TRANSPORT EXPRESS,Single Proprietorship,01-Dec-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201412121301461068041
739,PAULA LIM LUMBER & HARDWARE,Single Proprietorship,09-Jun-2005,Platinum,Active,10-Jul-2020,10-Jul-2021,20050675431263890434
740,POLARIS POWER ENGINEERING,Single Proprietorship,09-Aug-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,20070815760583022026
741,JIF GENERAL MERCHANDISE,Single Proprietorship,05-Feb-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,20040226171625894031
742,LEA BUSINESS CORPORATION,Corporation,21-Jun-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016061745411332958625
743,TOPBEST SECURITY AGENCY INC.,Corporation,06-Oct-2015,Platinum,Active,06-Jul-2020,17-Jul-2021,2015101505051372753509
744,FIVE STAR LUMBER & CONSTRUCTION SUPPLIES,Single Proprietorship,19-Oct-2006,Platinum,Active,07-Jul-2020,07-Jul-2021,20061011453750583332
745,KELA RESEARCH AND STRATEGY LTD.,Foreign Company Organization,14-Jun-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,20190638428839690075
746,RJ CASTILLO CONTRACTOR & CONSTRUCTION SUPPLY CORPORATION,Corporation,21-Nov-2014,Platinum,Active,10-Jul-2020,10-Jul-2021,2014111203841939851985
747,"HINO LEYTE, INC.",Corporation,07-Oct-2019,Platinum,Active,06-Jul-2020,06-Jul-2021,201910172231166898750
748,PRESIDIUM.PH CORPORATION,Corporation,12-Oct-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017101338801322059792
749,SUR CONSTRUCTION SUPPLY,Single Proprietorship,23-Nov-2009,Platinum,Active,06-Jul-2020,11-Jul-2021,200911297891316717145
750,APPLE'S INK TRADING,Single Proprietorship,31-Mar-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201403981951714545076
751,"TOYOTA BALINTAWAK, INC.",Corporation,04-Feb-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,20040225781547031093
752,APRIL ROSE ENT. & BUILDERS,Single Proprietorship,29-Apr-2010,Platinum,Active,03-Jul-2020,03-Jul-2021,20100433462151180007
