Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
CR Domingo Construction and Power Development,25.51223,120.0
SAINT HOMOBONUS PHARMA HEALTH ENTERPRISES,25.5717,3.0
MANILA HEALTHTEK INC,25.5864,64.5
CM`S GENERAL MERCHANDISE AND CONSTRUCTION SUPPLY,25.63492,8.333333333333334
LSERV CORPORATION,25.645228,169.0
MJP Enriquez Store,25.66662,30.0
STERITEX MEDICAL SYSTEM,25.6738,7.0
Meat Advantage Exchange Inc.,25.71548,7.0
L.L.J. General Merchandise,25.7561,10.0
DL Chua Store,25.8,19.0
MOUNT SINAI SCIENTIFIC AND PHARMACEUTICAL SUPPLY,25.825,7.0
Goshen Medical Supplies,25.86,365.0
Tri-B Marketing *T,25.866889499999996,1.0
Glen Asi,25.9,4.0
AIDEN AND AYN CONSTRUCTION,25.910736800000002,30.0
U-First Enterprises,25.9822,5.5
ENDURE MEDICAL INC,25.99578,76.0
Health Solutions Enterprises Incorporated,26.0,31.0
Bacolod Good Rise Commercial Company,26.0,2.0
"MNL Lights, Controls and Acoustics Solutions",26.0,39.0
"Fernando Medical Enterprises, inc.",26.0,15.0
Aloag Ricemill,26.0,19.666666666666668
"Fernando Medical Enterprises,Inc.",26.0,12.0
Genruz Cosnt. and Supplies,26.0,1.0
FERNANDO MEDICAL ENT. INC.,26.0,4.0
"Krypton Int'l. Resources Sales & Services, Inc.",26.132,33.0
Marianing and Sons Development Corporation-Superstore,26.2,32.0
EAGLE STAR INDUSTRIAL SALES CORP.,26.2272,14.0
Isabela Grains Production and Marketing Cooperative,26.26025,9.0
Cartesian Builders,26.2785854,42.5
Lyn's Rice & Palay Trading & Feeds Supply,26.34,5.75
ILOILO YCA-DALE TRADING,26.34715,9.0
MT. ZION PHARMA and MEDICAL SUPPLIES and EQUIPMENT DISTRIBUTOR,26.35,20.0
Lucky Stars Grocers,26.41985,62.75
PIONEER BUENAS COMMODITIES CORP.,26.456,8.333333333333334
PROCUREMENT OF MEDICAL EQUIPMENT,26.463,5.0
DIOSA RICEMILL,26.50752,7.0
DIZY'S TRADING,26.52,6.0
TSS CORPORATION,26.5334,1.0
POWERTRACT INCORPORATED,26.6,90.0
JO-LEA TRADING ENTERPRISES,26.614,14.0
Kinovett Scientific Solutions Co.,26.68269,40.0
Jo-Bing Santiago General merchandise,26.72008,14.0
Cantara's Rice Mill & Grains,26.752,90.0
"Local Farmers of Libjo, Dinagat Islands",26.754,7.0
ALLIED BOTANICAL CORPORATION,26.75786,24.25
DAVAO ORIENTAL SEED PRODUCERS COOPERATIVE-DOSEPCO,26.7696,21.0
LEEAN MEDICAL AND SURGICAL SUPPLY,26.8043,18.5
DRED ANGLE GENERAL MERCHANDISE,26.857,10.0
La Libertad FarmersMulti-Purpose Cooperative,26.875,3.0
Thymed Enterprises,26.948,3.0
Golden Grains Rice Mill,27.0,7.0
Lineline Diagnostics Supplies Inc,27.0,30.0
RBG Construction Services,27.1570621,89.0
Bi-Suns Build Ventures,27.167327999999998,7.333333333333333
Jhelvin's Catering,27.33484,10.0
CDTECH BUILDERS,27.3349636,30.0
BGC Pharmacy,27.35606,12.6
MLUD ENTERPRISES,27.5,89.0
Vitaline Healthcare Inc.,27.5,6.0
RMANS ENTERPRISE,27.6,10.0
Nixon G. Madarang Palay Buying Station and Rice Supply,27.62,4.0
DIGAP Trading,27.78,8.0
Romaniques Office Supplies and General Merchandise,27.78699,47.5
ROMIE'S STORE,27.789895,15.0
FRANCIS IV ENTERPRISES,27.875,15.0
Mabuhay Warehouse,27.93846,1.4285714285714286
Mendo Enterprises,27.946,29.5
Southeastasia Retail Inc. (Landers Superstore),27.947642800000004,14.666666666666666
Seammed Pharma,28.0,101.0
FIR MED ENTERPRISES,28.00983,20.0
JIO Enterprises,28.14,6.5
A. I. M. Equiptment Services and Solutions Inc,28.2,7.0
Pharma Medical Link,28.25413,15.2
Ralav Corporation,28.276536200000002,7.0
B- SHINE PHARMA,28.3392,7.0
Supply and Delivery of Furnitures and Fixtures,28.34055,14.0
Cabral Bicolandia Supermart,28.356,3.5
Cebu Surgical & medical Enterprises,28.41315,10.0
DANIELA MERZ RICE MILL AND PALAY TRADER,28.5,7.0
Axzeen Security Agency,28.530432,121.0
National Food Authority-Compostela Valley,28.5625,2.5
JNK MEDICAL SALES,28.59087,15.0
SHADY TRADING,28.5919,15.0
Raik Construction and Supply,28.6167616,30.0
Sagittarius Rice & Corn,28.6602,1.0
BTL MEDICAL TECHNOLOGIES INC.,28.728,14.5
S33 Enterprises,28.775,3.0
ER Enterprises,28.7875,3.0
D' Paragon AA Corporation,28.8,7.0
LEGEND HOTEL INTERNATIONAL CORPORATION,28.8,8.0
Sorongon Rice & Corn Mill,28.8,7.0
F & A Torregosa Milling Corporation,28.8,7.0
FIRST BAY PHARMA DISTRIBUTOR,28.801005,7.0
"Prowealth Industries,Arella Heart Bag,Olten Instruments,Sotera Pharma,Centro-Med",28.97,5.0
GOLDSEAL MEDICAL TRADING CORP.,29.000044,5.25
Bohol Quality Corporation,29.0684565,7.0
ALEX EMMANUEL FOOD ENTERPRISE,29.086875,13.0
CALAPAN GOLDEN EAGLE MART INC,29.138496,7.0
C.A.D.Construction Corp.,29.18356,99.0
ESCRITOR AGRICULTURAL SUPPLIES TRADING,29.21072,1.0
MORONG MULTI PURPOSE COOPERATIVE,29.25,7.0
Pedro Rodriguez Enterprises,29.4084146,14.0
"PACIFICA AGRIVET SUPPLIES, INC.",29.4758905,4.0
"TNC Everlight Philippines, Inc.",29.5,365.0
Jonas and Joshua Trading,29.51,5.0
ELIZABETH RICE RETAILER,29.5425,7.0
"Puregold Price Club, Inc.",29.5583,11.0
"YANA CHEMODITIES, INC.",29.7206,75.0
Leona Talco Rice Mill,29.72124,15.0
OLLIN GENERAL MERCHANDISE,29.762325,14.0
G Y TRADING,29.8,15.0
ISRAEL AGRI TRADING,29.8044,5.5
Versaflex Pharma,29.874,7.0
"SOLIVENTURES PHILS., INC.",29.98,14.0
NEWBRIDGE ELECTRICAL ENTERPRISES,29.98005,14.0
HEXA CM INDUSTRIAL AND TRADING CORP.,29.985,3.0
Hilander Plastic Products,30.0,7.0
SUPERSONIC MANUFACTURING INC.,30.0,13.0
Econo Pharma Trading,30.0,5.0
BTM Construction and Enterprises,30.0,59.0
VMS Trucking Services,30.0,29.5
"TECHNOMED INTERNATIONAL, INC",30.0,31.0
VANDHELF STORE,30.0,7.0
"AMI Equipment Services & Solutions, Inc.",30.0,90.0
JTM Agrochem,30.0,15.0
Prolife Healthcare System Corp.,30.0,20.0
JOLLYMED ENTERPRISES,30.003,61.0
Ninos General Merchandise,30.008,7.0
Chemvalley Resources Inc,30.06,31.5
CASH COW TRADING,30.21775,11.0
SOUTH LAS PIÃ‘AS TOURIST DEVELOPMENT CORPORATION,30.24,29.0
FLEXY MEDICAL SUPPLY,30.3,6.0
"Philippine Spring Water Resources, Inc.",30.3168,141.5
JIM-JIM TRADING,30.3375,6.0
MC JEB Trading,30.4065,4.25
"MEDICAL TRENDS AND TECHNOLOGIES, INC.",30.5302,18.0
LUCKY A GRAINS CENTER,30.69,11.0
Isabela Livelihood Center & General Merchandise,30.7675,7.0
DBM-Procurement Service,30.768228999999998,29.333333333333332
DREI ENTERPRISES,30.8022,5.666666666666667
ACE CENTERPOINT,30.866005999999995,3.0
BELMAN LABORATORIES,30.9104,8.0
"Alog & Company, Inc.",30.962,14.0
Agni Grocery,31.04576,60.5
Reta Drug,31.070287199999996,7.0
NEW PUBLIC STORE,31.16,15.0
Kingstar Pharma,31.30154,16.11111111111111
EVERJUNE FRUITS & VEGETABLES SUPPLIER & RETAILER,31.31065,7.0
Nyer Petron Station,31.36,41.0
"PS-Depot, Ipil",31.40803,30.5
"ENDURE MEDICAL, INC.",31.43945,25.8
Lucky Six Poultry Farm,31.499,30.0
Medexhealth Corp.,31.5,12.5
Delta Distribution Corporation,31.57,9.0
FJB-JAB Eterprises,31.699,7.0
BAUKO ORGANIC PRACTITIONER CREDIT COOPERATIVE,31.7,6.0
RBJ CommoditiesTrading and Exponent,31.71875,9.666666666666666
Juniper 3 Procurement Corporation,31.722,14.0
MMC STORE,31.77,7.0
Genruz Const. & Supplies,31.835673999999997,9.5
Sophie's General Merchandise,31.95731,9.9
HEAVEN'S MAY GENERAL MERCHANDISING,31.959686,1.0
"getz bros., phils., inc.",31.986,27.0
JEKAT MEDICAL SUPPLIES AND EQUIPMENT,31.99045,11.0
ARCORP Medical Enterprises,32.0,44.0
"Robustan, Inc.",32.04,63.0
J.E. GENERAL MERCHANDISE,32.12882,31.0
JRC Medical Supplies Trading,32.14535,7.0
JNP Sari-sari Store,32.25,5.0
TSALEACH TRADING,32.25135,6.0
"Zomedel Gas Center and Gen. Mdse., Inc.",32.28,6.0
DIGAP TRADING,32.295,4.5
TAGUM CITY EMPLOYEES MULTIPURPOSE COOPERATIVE,32.3154,15.333333333333334
NATIONAL FOOD AUTHORITY-ILOILO,32.325,31.0
MXC Construction,32.3269072,62.0
Hi-Precision Diagnostics,32.352,22.0
QUAD-GEN PHARMACEUTICAL,32.35454,4.0
FORTUNE GROUP CORPORATION,32.4,15.0
Zuellig Pharma Corp,32.406535,82.83333333333333
Elm Industrial Sales,32.4108,15.0
Buildtek Construction,32.5634621,49.0
"Macare Medicals, Inc.",32.58735,365.0
NVM Marketing INC.,32.73207,46.333333333333336
Medical Trends and Technologies Inc.,32.8,3.0
BAYAMBANG LGU EMPLOYEES CONSUMERS COOPERATIVE,32.8704948,4.55
JUNIPER 3 PROC CORP,32.9,3.6666666666666665
Cebu Sherilin Trading Corporation,32.901235,18.5
LANVIN ENTEPRISES,33.0,3.0
Everyday Enterprises,33.0,9.0
Armen Engineering and Construction Services,33.0,366.0
Cathy's Diner and Catering Services,33.12,38.5
Jeramy Commercial,33.3211,15.5
South Star Distributors Inc.,33.4487628,10.0
FISHER RETAIL INC.,33.49472,4.0
NVM Marketing Incorporated,33.5147,57.0
CHUMS Pharma Distributor,33.588,13.0
KINOVETT SCIENTIFIC SOLUTIONS CO.,33.61634,15.678571428571429
KCC MALL OF MARBEL,33.66026,1.0
Essentrix Choice Pharma,33.715,15.0
KAMIKO CARGO MOVERS CORPORATION,33.908,365.0
CHARLIFE PALAY BUYING STATION,34.0,1.0
Rhenamae's Trading,34.0,6.666666666666667
JOHANNS GENERAL MERCHANDISE,34.07,6.0
MORONG STORE AND GENERAL MERCHANDISE,34.09,7.0
Aroluck General Merchandising,34.113287,2.0
A3 General Merchandise,34.14924,15.0
PALINDROME ENTERPRISES,34.5,11.0
Ej and Jy Wet Market and Enterprises,34.527218,16.25
LSM Pharma and Medical Supply,34.547035,10.0
INSEE DIAMOND TRADING CO.,34.5825,38.0
WI-AL Construction Builders,34.588727999999996,15.875
LGT TRADING AND GENERAL MERCHANDISE,34.59,11.0
Palmares General Merchandise,34.6999963,29.0
HAKKATAN KONSTRUK & GEN. MDSE.,34.737685899999995,186.0
UYKINGTEK TRADING,34.8,9.0
Degracia Rice Milling and Enterprises,34.8,13.0
Merry Merchants Trading and General Merchandise,34.849045,6.0
MELGRIE PHARMACEUTICAL DISTRIBUTOR,34.952775,27.0
Two-Brothers Construction,34.9550275,1.0
TECHNOMED INTL. INC.,35.0,4.0
Yakap at Halik Multi-Purpose Coop. Quezon II,35.05571,3.6666666666666665
Pure Gold Price Club Inc. Calapan,35.116026,1.0
ORION SHELL STATION,35.124,23.0
Luy Consumer Goods Trading,35.1329,5.142857142857143
VITARICH CORP.,35.2,4.0
Siltos Mart & General Merchandise,35.27126,2.6666666666666665
Reign Enterprises,35.379925,3.25
BULLSEYE SOLUTIONS INC.,35.5,17.0
"RTM SALES & CONSUMER GROUP, INC.",35.5121,29.0
KNC Rice Retailer and Wholesaler,35.60202,5.0
"Stefan's Pharmaceutical Drugstore, Distributor & General Merchandise",35.615312,1.0
Isabela Livelihood Center and General Merchandise,35.665,7.0
Rescue Life Industrial Sales Co.,35.86108,15.2
A-CUBE CONSTRUCTION & SUPPLY,35.9110465,30.0
Berovan Marketing Inc.,35.9154812,16.77777777777778
RETA DRUG,35.9437842,19.5
Elite Scientific & Diagnostic International Supplies Corp.,35.96582,34.0
"RM Medical Supply and Equipment,Variance Trading Corporation",35.99228,10.0
"ENSUREMED, INC.",35.9975,8.0
Northland Agri-Products & Services,36.0,30.0
Fastlab Diagnostics & Medical Supplies,36.0,5.0
Viloria General Merchandise,36.0,7.0
GGG Palay & Rie Trading,36.0,4.0
BOSS NIK ENTERPRISE,36.187204,7.0
ZAMBOANGA BAKERY,36.25,76.0
FJC RICEMILL & GRAINS,36.3,3.6666666666666665
F. E. LEE ENTERPRISES,36.47,6.333333333333333
Vita Care Health Products,36.499,31.666666666666668
"Respicare Enterprises, Inc",36.555,51.0
GOLD MEDLINES DRUG DISTRIBUTION,36.59234,10.0
Royal Air,36.9,1.0
RX CAREMED ENTERPRISES,36.93035,20.0
Davao Oriental Seed Producers Cooperative,36.9396,23.5
HEALTHSOLUTIONS ENTERPRISES,37.0,13.0
Wellpoint Enterprises,37.0,7.0
RAD. G Enterprises,37.0,13.0
First Med Pharmacy and Children's Clinic,37.0035,15.0
4KMB General Merchandise,37.01103,7.571428571428571
Vicente Grains Buying Station,37.065,8.0
KCJ General Merchandise,37.09741,3.0
"Arella Enterprises,Centro-Med Enterprises,Juniper 3 Procurement,Mendo Enterprise",37.104,10.0
Eastern Tanay Supermarket Inc.,37.12311,2.0
TWENTY OAKS DUTY FREE HYPERMART,37.13476,26.5
LUCHAY AGRI TRADERS,37.184,10.0
M. Palacios Variety Store,37.29745,67.5
PACIFIC GRAINS AND FERTILIZER TRADING,37.5,30.0
Elan Vita Diagnostics Solutions,37.5,31.0
DMAP TRADING AND MERCHANDISING,37.5302,6.0
PANALAY TAILORING,37.55175,7.2
FAS DIAGNOSTIC GROUP INC.,37.5625,8.5
GP Rice and Corn Dealer,37.6018,123.0
GLORIA'S MEATSHOP AND AGRIVET,37.655,21.0
FOR BO ENTERPRISE,37.8,29.0
"EMCOR,INC.",37.848,14.0
MEDILINES DISTRIBUTORS INCORPORATED,37.95596,62.0
AH SHOPPERS MART INC.,37.996,6.0
M.L.R Grains Trading,38.0,6.0
"Lifeline Diagnostics Supplier Inc.,Rainphil,Inc.",38.0,33.0
EN Ricemill Commercial,38.0,16.0
SEED GROWERS MPC OF LA UNION,38.0,32.0
BEROVAN MARKETING INC,38.00438,19.6
Swab General Merchandise,38.034,27.25
MARYKNOLL BUILDERS AND SUPPLY,38.1795771,60.0
PADRINO GENRAL MERCHANDISE,38.307783,7.0
J-777 Agri Marketing Corp.,38.32,30.0
"I. Marcelo Builders, Inc.",38.3880172,150.0
JULRIZ CONSTRUCTION AND SUPPLY,38.3918215,60.0
GENZEN PHARMACEUTICAL TRADING,38.3995,7.0
Panda Tea Garden Suites,38.475,89.0
"Technomed International, Inc.",38.6,60.0
Hawk Rescue Equipment and General Merchandise,38.61147,1.0
"Berovan Marketing, Inc.",38.62036,22.0
Moraleda Farms,38.66,32.0
Powermeds Trading,38.75,8.0
DIGITAL INTERFACE,38.77654,7.0
JUZLAI CATERING AND FOOD SERVICES,38.77777,6.666666666666667
J-Baw Rice and Corn Dealer,39.0225,3.0
Thy Grace Medical Supply and Services,39.0525,13.0
Rocsi Store,39.07125,3.0
Mac Kusina De Kafe,39.15,29.0
"Esco Philippines, Inc.",39.2148,97.8
Doydora Enterprises,39.265959800000005,61.666666666666664
Technomed International Inc,39.292,14.0
SJ Pharmacy,39.46995,4.0
DBM Procurement Service - Manila,39.6098352,21.666666666666668
EIGHT - TWO - ZERO GEN. MDSE.,39.68,7.0
Estrall Marketing,39.79748,7.5
Llanera Grains Complex Inc.,39.9,6.5
"Pollution Abatement System Specialists, Inc.",39.99936,7.0
ENNG Marketing,40.0,64.0
SERODIAGNOSTIC TRADING,40.0,21.0
EXODUS MEDICAL SUPPLIES,40.0,1.0
"Omnibus Bio-Medical System, Inc.",40.0,5.0
"Cartal Enterprises, Inc.",40.0,15.0
Mega Star Printers Enterprises & Service,40.0,6.0
SJN Enterprises,40.0335,12.25
"TUCDAO-ANAS FARMERS IRRIGATORS' ASSOCIATION, INC.",40.32875,10.0
HIGH M ENTERPRISES,40.442,30.0
Sea Pro Agricultural Sales & Services,40.46,16.0
Golden Dell Generic Distributor,40.58006,1.125
RIJETT CAR RENTAL SERVICES,40.7,36.0
Ramrod Supermarket Inc.,40.72,3.5
RESPICARE ENTERPRISES INC.,40.8,10.0
JREV PHARMA DRUG DISTRIBUTOR,40.87168,17.857142857142858
Pharma Quest Co,40.95,14.0
Maligro General Merchandise,40.951,13.0
Miracle Hybrid Corn Seed,40.9795,31.0
"JORDAL MEDICAL SYSTEMS, INC.",41.07,30.0
New Javier Trading Corporation,41.101801,22.333333333333332
AGRO-INDUSTRIAL COOPERATIVE OF MATAASNAKAHOY (AICOM) INC.,41.164,7.0
MITONI BUSINESS VENTURES,41.208045,4.75
"MRL Cybertec, Inc.",41.26892,10.0
D'BEAM GENERAL MERCHANDISE CORP,41.3091,76.0
Frabelle Corporation,41.40455,23.5
KUSINA NI VICANG,41.4703,12.0
CHAMPION COMMERCIAL,41.5058,15.0
ECE Marketing,41.54007,6.4
RITETECH MARKETING,41.56,17.5
"MARSMAN DRYSDALE MEDICAL PRODUCTS, INC",41.8951296,4.0
Astronmed Trading,41.9,5.0
KCJ GENERAL MERCHANDISE,41.92075,5.0
NJM Pasia Inc,42.0,30.0
DAVAO TRI-STAR COMMERCIAL,42.0,12.0
ROCSI STORE,42.025,3.0
L-Zay Medical Enterprise,42.03689,8.666666666666666
"ELIM AGRIBUSINESS VENTURER'S, INC.",42.123675,30.333333333333332
Pilipinas Kaneko Seeds Corp.,42.125,30.0
"PHIL PHARMAWEALTH, INC.",42.1545116,54.6
EMERSON AGRO TRADING,42.2,30.0
SEM-CARLO STORE,42.25752,2.0
MACTYCOON MARKETING,42.28,16.5
Libertad Consumers Corporation,42.334669500000004,6.285714285714286
ABCM ENTERPRISES,42.34681,7.0
MAHARLIKA FARMS MULTI-PURPOSE COOPERATIVE,42.42,9.0
RHOZLE JONAH'S ENTERPRISES,42.4326,5.333333333333333
Rescue Life Industrials Sales Co.,42.495,10.333333333333334
Respicare Enterprises Inc,42.5,30.0
MEDICO EXELENTE MARKETING,42.66,10.6
PACIFIC PHIL DISTRIBUTION GROUP INC.,42.7,15.0
Honey's Agrivet & Gen. Mdse.,42.71,3.0
"Rebmann, Incorporated",42.8688,365.0
Meddarruz Pharmaceuticals,42.88,2.0
DEN DER TRADING,42.9135,13.5
ASTRONMED TRADING,42.96415,13.0
INTER-CONTINENTAL FOOD AND PHARMACEUTICALS INC,43.083,29.0
ALTHEA'S CATERING SERVICES,43.1162,12.4
LUCKY 8 MARKETING,43.24825,58.666666666666664
ECLIPSE CRESCENT GENERAL MERCHANDISE,43.254,1.0
AJJ Trading,43.337,26.5
G & K General Merchandise,43.3905,2.5
Emergence Corporation,43.4875,3.5
Procurement Service - DBM,43.59256340000001,15.333333333333334
PALAWAN UNO HOTEL,43.8,7.0
"RICA MARKETING OF BACOLOD,INC.",44.0,1.0
Romie's Store,44.0,10.0
"AMI Equipment Service & Solutions, Inc.",44.0,1.0
CLMA Pharmaceuticals,44.25,15.0
Albano Stock and Dairy Farms,44.31135,51.666666666666664
"MEDICAL TEST SYSTEMS, INC.,",44.5,14.0
Ladyjen Medical Trading,44.7816,14.0
JUNIPER 3 PROCUREMENT CORP.,45.0,14.0
"Asian Hybrid Seed Technologies, Inc.",45.03,31.0
NITROX ENTERPRISES,45.04798,23.8
JARCARE TRADING CORPORATION,45.25,1.0
MOUNTAIN VIEW MULTI-PURPOSE COOPERATIVE,45.36,15.0
VMED MEDICAL CO.,45.4399891,6.4
TRESMARIA OFFICE SUPPLIES TRADING,45.44064,30.0
AVS Marketing Corporation,45.79746,2.0
Biochem Scientific Diagnostic Supply,45.85664,3.7142857142857144
Betina Kate Store,45.88762459999999,17.0
Greenstone Packaging Corporation,45.9,9.0
"EAST-WEST SEED COMPANY, INC.",45.950132,20.0
"MACARE MEDICALS, INC.",46.0,60.0
JPM CATERING SERVICES,46.06885,7.0
JRA MEDICAL SUPPLIES,46.08,15.0
PETAL TRADING & SERVICES,46.2,7.5
Zymed Medical Distributor,46.25,17.0
Megila Construction Development & Supply,46.3,44.0
Vincare Pharma,46.37,10.0
MD DE DIOS GENERAL MERCHANDISE,46.38,15.0
National Food Authority - Aurora,46.4125,1.0
RXCAREMED ENTERPRISES,46.43095,18.166666666666668
"Happy Enterprises and Resources, Inc.",47.16536,7.0
Pharmastar Int'l Trading Corp.,47.5,15.0
Labsolution Technologies Inc,47.5,30.0
STM Drug Mart,47.515112,7.0
Ariel Sari-Sari Store,47.566,14.5
GREATWALL SUPERMART,47.56662,3.5
Dane Degala Castillo,47.6383625,14.0
Kairos Pharma-Medical Supplies and Equipment,47.7512,17.0
"IDS Medical Systems Philippines,Inc",48.0,12.0
Vesric Enterprises,48.0,15.5
Apex Grains Endeavor Inc.,48.0,6.0
The Vine Holistic Medical Aesthetics & Spa,48.06,7.0
R2D2 TRADING,48.065,7.25
MEET TO U TRADING AND GENERAL MERCHANDISE,48.07,1.5
ZEPHANIAH MEDLAB SUPPLIES AND EQUIPMENTS,48.195,7.0
Negros Agrivert Supply,48.227,7.0
A.P.E.A. General Merchandise,48.26592,12.166666666666666
PLANTERS' TRADING & AGRO SERVICES,48.406287999999996,44.0
San Mariano Primary Multipurpose Cooperative,48.59,10.0
ERS Enterprises,48.6114,48.5
TABINGO STORE,48.6306962,9.5
PROCUREMENT SERVICE,48.632812,9.583333333333334
PADRINO GENERAL MERCHANDIS,48.67499,5.0
BT Grains and Agro Corporation,48.75,8.0
"Dacworks United, Inc.",48.7865,29.0
"GAKKEN PHILIPPINES, INC.",48.877777699999996,32.0
"WORKSITE TECHNOLOGY SERVICES, INC.",48.94,14.0
Jacqueline Flores Rice Retailing,48.98,4.333333333333333
EVL DUQUEMARKETING,49.0,5.0
DYNAMED HEALTHCARE INCORPORATED,49.046,18.0
"Felines Gift Shop, Inc.",49.0636,46.0
Greenland Agri-Business Trading,49.0821,1.0
MECH-AIR SYSTEMS CORPORATION,49.22716460000001,29.75
"JHG TRADING INC.,",49.32964,11.0
AMI EQUIPMENT SERVICE & SOLUTIONS INC.,49.45,1.0
PRO-LIFE HEALTHCARE SYSTEM CORPORATION,49.458,14.0
Meet to U Trading and General Merchandise,49.7741,10.0
Wilmyr General Merchandise II,49.8704,4.428571428571429
ILOILO IZEEM COMMERCIAL,49.942415,11.8
CLV Grocery,49.97865,5.0
"LongPing Tropical Rice Dev't., Inc.",49.99,13.0
Archipelago Philippines Ferries Corp.,50.0,2.0
NFA - Kidapawan City,50.0,7.0
"MEDICOTEK, INC",50.0,4.0
"National Food Authority, Jaro, Iloilo City",50.0,4.0
"FERNANDO MEDICAL ENTERPRISES, INC",50.0,10.0
Elan Vita Diagnostic Solutions,50.1,30.0
EYLAK TRADING,50.122838,7.0
B-Shine Pharma,50.1915099,8.2
Joel L. Mabalot,50.2,7.0
KINGSTAR PHARMA,50.2555,10.0
MED PLUS ENTERPRISES,50.4,30.0
Metro Regency Innovation Inc.,50.62228,31.5
JAL Rice Store,50.635,7.5
DYNAMED HEALTHCARE INC.,50.75,11.333333333333334
"Metro Drug, Inc.",50.81044,15.0
Farmacia Sheena,50.8987,22.833333333333332
"Philippine Airlines, Inc.",50.9395,1.0
Sedsan Commercial,50.9443,15.0
Marcela A. Pagsolingan,50.97335,4.2
F.P. Perez Minimart,51.36866,6.0
Red Rock General Merchandise,51.41206,5.0
HLYC TRADING,51.413347,5.666666666666667
"MEDICAL TEST SYSTEMS, INC.",51.44546,37.1578947368421
"Diamondsphere, Inc.",51.498035,7.0
Red Table Food Services,51.5495,13.75
"FMN Agricultural Supply, Inc.",51.646,1.0
"TOYOTA CAGAYAN DE ORO, INC.",51.68034,29.0
SJ MARKETING,51.75,77.5
Country Rice Mill and Trading Corporation,51.87,14.0
SAMARAN GRAINS AND MERCHANDISE,51.93,10.0
DUOMEDICS Enterprises,51.954,15.0
G&C Yason General Merchandise,51.98475,12.166666666666666
BIOSYN HEALTHCARE SYSTEMS INC.,52.0,18.0
"FERNANDO MEDICAL ENTERPRISES, INC.",52.0,30.5
ALARCON CATERING SERVICES,52.268,25.333333333333332
RITE-TECH MARKETING,52.45,9.666666666666666
Jhonny Tampakan Store,52.5,3.0
AJ GENERAL MERCHANDISE,52.5162,30.5
F.E.G GENERAL MERCHANDISE,52.78021,10.545454545454545
JB LORESCO RICE AND POULTRY SUPPLY,52.896,10.0
JOHANN'S GENERAL MERCHANDISE,53.0975,7.0
Philippine Telegraph and Telephone Corporation,53.2,181.0
JJKHALID DRUG DISTRIBUTOR,53.44714,6.0
O.J.G.C. Enterprises,53.8,11.666666666666666
BLU ENTERPRISES,53.85,8.0
PHIL-DRUG Distributor,54.0,80.0
AKZ CONSTRUCTION TRADING,54.2456383,5.0
F&A Schools & Office Supplies Enterprises,54.3482,11.0
Xaviery's Enterprises,54.4825,6.0
MRE STORE,54.49992,2.0
Prolife Healthcare System Corp,54.62,42.25
Philippine Red Cross,54.62,10.0
PACIFIC GRAIN AND FERTILIZER TRADING,54.678305,7.0
Pacing and Raul Store,54.825,9.0
Oxytec Solutions Inc.,55.0,30.0
OLYMPIA E. CORPUZ ENT.,55.14225,52.5
"VIRGINIA FOOD, INC.",55.30896,5.0
RCV ENTERPRISE,55.41369,24.0
Medshield Pharma Corp.,55.42658,24.666666666666668
Fit Pharma Incorporated,55.452,10.0
NATIONAL FOOD AUTHORITY - ILOILO,55.5,46.0
Isabela Grains Production & Marketing Cooperative,55.55,15.0
ISABELA GRAINS PRODUCTION & MARKETING COOPERATIVE,55.55,15.0
"CSI WAREHOUSE CLUB, INC.",55.92655,6.285714285714286
Keisha Trading,56.0,85.0
ALLIED HOSPITAL SUPPLY INTERNATIONAL CORPORATION,56.0206,23.666666666666668
LOVMIA MARKETING,56.1197,16.1
METROTRADE MARKETING AND DISTRIBUTION INC.,56.18,7.0
DONGKIE RICE AND CORN DEALER,56.38875,6.0
Ateliers Artea Worldwide Inc.,56.4256,27.0
MAGGOT PHARMA TRADING,56.61877,10.0
Office Options,56.65,7.0
KOMODO DRAGON BUILDERS & SUPPLIES,56.9068,35.5
Agrigrowth International Corp,56.9772,30.0
DJLMBR RICE AND POULTRY SUPPLY,57.0,30.0
Angelson Store,57.13325190000001,18.0
Zuellig Pharma Corporation,57.236308,205.0
SURGICO PHILIPPINES INC.,57.3,10.0
"Agape Commercial, Agusan del Sur",57.448,10.0
"Grepcor Diamonde, Inc.",57.5,14.0
Southside Biomedical Sales and Services Co. Ltd.,57.75,22.333333333333332
MRL CYBERTEC CORP,58.0035,20.6
"ARRIANNE MERCHANDISING AND CONSTRUCTION SERVICES, INC.",58.05145,5.0
FNC TRADING & RICEMILL / FEDERICO A. CUBRADO,58.19,30.0
D V CABATINGAN RICE TRADING,58.65,15.0
WWW.CONSTRUCTION,58.742399299999995,60.0
"BIOSYN HEALTHCARE SYSTEMS, INC.",59.0,7.0
Great Swiss Metal Builders Corp.,59.1,9.0
HEALTH OPTIONS ENTERPRISES,59.34549,13.8
Organic Artisan Lab Corp,59.57,5.0
JEM & FERDS GEN. MERCHANDIZE,59.9,1.0
Rubiel Stationery & Gen. Mdse.,59.987873099999995,30.0
E. G. & I Construction Corporation,59.98999960000001,21.0
MARILAG RICEMILL,59.994,7.0
TOUCHSTAR ENTERPRISES,59.99999,9.0
CELIS BEACH RESORT HOTEL,60.0,7.0
"Assurance Control Technologies Co., Inc.",60.0,14.0
"NPK Medical Trading Inc.,",60.0,14.0
